zoneid,npixels,mean,min,max,sum,sampVar,popVar,sampSD,popSD
341Fn,14589,6.81071446870417,0,53.8200836181641,99361.513383925,70.1689410812291,70.1641313656159,8.37669034172979,8.37640324755296
341Bq,27944,9.09020270939174,0,55.7860870361328,254016.624511242,74.7859235655352,74.7832472871367,8.64788549678678,8.64773075940369
322As,39254,0.087838389294891,0,12.9061679840088,3448.00813338161,0.783013474775472,0.782993527420431,0.884880486153623,0.884869214867616
313Ak,63384,0.583056991983589,0,22.7104530334473,36956.4843798876,5.56377962972733,5.56369185079842,2.35876654837382,2.35874794134482
313Ah,104316,2.58046623681392,0,36.7022895812988,269183.915959477,22.1977442063846,22.1975314131007,4.71144820690885,4.71142562427772
M313Ag,68459,5.1385142498939,0,70.9473571777344,351777.547033489,58.6226271956267,58.6217708783099,7.65654146437063,7.6564855435317
315Ba,1232425,0.004699451910651,0,31.5525131225586,5791.7220209837,0.075948026776708,0.075947965151841,0.27558669557275,0.275586583766047
341Fj,281720,0.325475420933898,0,42.9922523498535,91692.9355854988,3.78395677926863,3.78394334764581,1.94523951719798,1.94523606476073
M313Ad,232474,6.12955685387639,0,73.4866943359375,1424962.60004807,78.5789931319568,78.5786551199936,8.86447929277049,8.8644602272216
322Ce,22736,0,0,0,0,0,0,0,0
M313Am,44153,0.554478641906613,0,16.2776870727539,24481.8954761028,3.81866815823191,3.81858167105871,1.95414128410202,1.95411915477504
M341Bb,49228,9.34199927950059,0,53.9787826538086,459887.940531254,65.8135814200966,65.8122445065226,8.11255702106904,8.11247462285847
M331It,9975,25.5128014227501,0,76.0105972290039,254490.194191933,465.358208879265,465.311556427247,21.5721628233996,21.571081484878
341Bb,79747,0.501075679585275,0,25.5639362335205,39959.2822198868,4.50406833628627,4.50401185681574,2.12227904298334,2.12226573661635
341Fm,174043,3.95848348980271,0,35.7364883422852,688946.342015743,31.3217547252492,31.3215747596389,5.59658420156878,5.59656812338051
